# High-quality stations only (VR > 40%)
   ak2025xjbvhj.AT.PMR..BH                   86           1   1   1   1   1     10.76    0.0        19.13    0.0        0.         0.
   ak2025xjbvhj.AK.CUT..BH                   96           1   1   1   1   1     12.08    0.0        21.48    0.0        0.         0.
   ak2025xjbvhj.AK.GHO..BH                   99           1   1   1   1   1     12.40    0.0        22.05    0.0        0.         0.
   ak2025xjbvhj.AK.L22K..BH                 106           1   1   1   1   1     13.32    0.0        23.68    0.0        0.         0.
   ak2025xjbvhj.AK.SAW..BH                  130           1   1   1   1   1     16.34    0.0        29.06    0.0        0.         0.
   ak2025xjbvhj.AK.WAT7..BH                 172           1   1   1   1   1     21.52    0.0        38.26    0.0        0.         0.
   ak2025xjbvhj.AK.WAT1..BH                 181           1   1   1   1   1     22.65    0.0        40.26    0.0        0.         0.
   ak2025xjbvhj.AK.WAT6..BH                 193           1   1   1   1   1     24.19    0.0        43.01    0.0        0.         0.
   ak2025xjbvhj.AK.RND..BH                  226           1   1   1   1   1     28.33    0.0        50.37    0.0        0.         0.
   ak2025xjbvhj.AK.DHY..BH                  242           1   1   1   1   1     30.30    0.0        53.86    0.0        0.         0.
